"Compound.Name","Column","z","QE.LinRange","QE.RF.ratio","QE.RSD","TQS.LinRange","TQS.RF.ratio","TQS.RSD","Compound.Type","Compound.Name_old","Compound.Name_figure","Compound.Name_SQL","Emperical.Formula","RT..min.","m.z","ionization_form","KEGG_Code","ChEBI_Code","Liquid.Fraction","Conc..uM","HILICMix","Date.added","Classyfire","Priority","KEGG_Names","PubChem_Code","PubChem_Formula","InChI_Key_Code","Canon_SMILES_Code","IUPAC_Code"
"L-Histidine","HILIC",1,"100 - >10000","0.759","23","<10 - 1000","0.704","6.9","Amino Acid","Histidine","Histidine","Histidine","C6H9N3O2",11.45,156.077302,"[M+H]","cpd:C00135","ChEBI:15971","Aq",4,"Mix1",160401,"kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives; level 7: Histidine and derivatives",TRUE,"L-Histidine; (S)-alpha-Amino-1H-imidazole-4-propionic acid",NA,NA,"HNDVDQJCIGZPNO-YFKPBYRVSA-N","C1=C(NC=N1)CC(C(=O)O)N","(2S)-2-amino-3-(1H-imidazol-5-yl)propanoic acid"
"L-Isoleucine","HILIC",1,"1000 - >10000","0.681","14.7","100 - >10000","0.956","9.3","Amino Acid","Isoleucine","Isoleucine","Isoleucine","C6H13NO2",8.17,132.102454,"[M+H]","cpd:C00407","ChEBI:17191","Aq",4,"Mix1",160401,"kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives; level 7: Isoleucine and derivatives",TRUE,"L-Isoleucine; 2-Amino-3-methylvaleric acid",NA,NA,"AGPKZVBTJJNPAG-WHFBIAKZSA-N","CCC(C)C(C(=O)O)N","(2S,3S)-2-amino-3-methylpentanoic acid"
"L-Kynurenine","HILIC",1,NA,NA,NA,NA,NA,NA,"Amino Acid","Kynurenine","Kynurenine","Kynurenine","C10H12N2O3",4.345,209.092618,"[M+H]","cpd:C00328","ChEBI:16946","Aq",NA,NA,160401,"kingdom: Organic compounds; superclass: Organic oxygen compounds; class: Organooxygen compounds; subclass: Carbonyl compounds; level 5: Ketones; level 6: Aryl ketones; level 7: Phenylketones; level 8: Alkyl-phenylketones; kingdom: Organic compounds; superclass: Organic oxygen compounds; class: Organooxygen compounds; subclass: Carbonyl compounds; level 5: Ketones; level 6: Aryl ketones; level 7: Phenylketones; level 8: Alkyl-phenylketones",FALSE,"L-Kynurenine; 3-Anthraniloyl-L-alanine",161166,"C10H12N2O3","YGPSJZOEDVAXAB-QMMMGPOBSA-N","C1=CC=C(C(=C1)C(=O)CC(C(=O)O)N)N","(2S)-2-amino-4-(2-aminophenyl)-4-oxobutanoic acid"
"L-Leucine","HILIC",1,"1000 - >10000","0.895","10.3","20 - >10000","0.743","4","Amino Acid","Leucine","Leucine","Leucine","C6H13NO2",7.63,132.102454,"[M+H]","cpd:C00123","ChEBI:15603","Aq",4,"Mix1",160401,"kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives; level 7: Leucine and derivatives",TRUE,"L-Leucine; 2-Amino-4-methylvaleric acid; (2S)-alpha-2-Amino-4-methylvaleric acid; (2S)-alpha-Leucine",NA,NA,"ROHFNLRQFUQHCH-YFKPBYRVSA-N","CC(C)CC(C(=O)O)N","(2S)-2-amino-4-methylpentanoic acid"
"L-Lysine","HILIC",1,"10000 - >10000","0.822","20","<10 - >10000","0.967","13.1","Amino Acid","Lysine","Lysine","Lysine","C6H14N2O2",17.5,147.113353,"[M+H]","cpd:C00047","ChEBI:18019","Aq",4,"Mix1",160401,"kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives; level 7: Alpha amino acids; level 8: L-alpha-amino acids",TRUE,"L-Lysine; Lysine acid; 2,6-Diaminohexanoic acid",NA,NA,"KDXKERNSBIXSRK-YFKPBYRVSA-N","C(CCN)CC(C(=O)O)N","(2S)-2,6-diaminohexanoic acid"
"L-Proline","HILIC",1,"100 - >10000","0.331","5.9","<10 - >10000","0.251","23.2","Amino Acid","Proline","Proline","Proline","C5H9NO2",9.49,116.071154,"[M+H]","cpd:C00148","ChEBI:17203","Aq",4,"Mix1",160401,"kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives; level 7: Proline and derivatives",TRUE,"L-Proline; 2-Pyrrolidinecarboxylic acid",NA,NA,"ONIBWKKTOPOVIA-BYPYZUCNSA-N","C1CC(NC1)C(=O)O","(2S)-pyrrolidine-2-carboxylic acid"
"L-Serine","HILIC",1,"10000 - >10000","0.748","19.1","500 - 1000","0.899","16.5","Amino Acid","Serine","Serine","Serine","C3H7NO3",11.86,106.050419,"[M+H]","cpd:C00065","ChEBI:17115","Aq",4,"Mix1",160401,"kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives; level 7: Serine and derivatives",TRUE,"L-Serine; L-2-Amino-3-hydroxypropionic acid; L-3-Hydroxy-alanine; Serine",NA,NA,"MTCFGRXMJLQNBG-REOHCLBHSA-N","C(C(C(=O)O)N)O","(2S)-2-amino-3-hydroxypropanoic acid"
"L-Threonine","HILIC",1,"1000 - >10000","0.694","12.9","100 - >10000","0.715","11.2","Amino Acid","Threonine","Threonine","Threonine","C4H9NO3",10.92,120.066069,"[M+H]","cpd:C00188","ChEBI:16857","Aq",4,"Mix1",160401,"kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives; level 7: Alpha amino acids; level 8: L-alpha-amino acids",TRUE,"L-Threonine; 2-Amino-3-hydroxybutyric acid",NA,NA,"AYFVYJQAPQTCCC-GBXIJSLDSA-N","CC(C(C(=O)O)N)O","(2S,3R)-2-amino-3-hydroxybutanoic acid"
"L-Tyrosine","HILIC",1,"100 - >10000","0.673","15","<10 - 1000","0.272","17.6","Amino Acid","Tyrosine","Tyrosine","Tyrosine","C9H11NO3",9.76,182.081719,"[M+H]","cpd:C00082","ChEBI:17895","Aq",4,"Mix1",160401,"kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives; level 7: Tyrosine and derivatives; kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives; level 7: Tyrosine and derivatives",TRUE,"L-Tyrosine; (S)-3-(p-Hydroxyphenyl)alanine; (S)-2-Amino-3-(p-hydroxyphenyl)propionic acid; Tyrosine",NA,NA,"OUYCCCASQSFEME-QMMMGPOBSA-N","C1=CC(=CC=C1CC(C(=O)O)N)O","(2S)-2-amino-3-(4-hydroxyphenyl)propanoic acid"
"L-Valine","HILIC",1,"100 - >10000","0.762","7.7","<10 - 1000","0.438","14.9","Amino Acid","Valine","Valine","Valine","C5H11NO2",9.09,118.086804,"[M+H]","cpd:C00183","ChEBI:16414","Aq",4,"Mix1",160401,"kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives; level 7: Valine and derivatives",TRUE,"L-Valine; 2-Amino-3-methylbutyric acid",NA,NA,"KZSNJWFQEVHDMF-BYPYZUCNSA-N","CC(C)C(C(=O)O)N","(2S)-2-amino-3-methylbutanoic acid"
"L-Hydroxylysine","HILIC",1,"10000 - >10000","0.796","25.4","20 - >10000","0.974","18.8","Amino Acid - collagen","Hydroxylysine","Hydroxylysine","Hydroxylysine","C6H14N2O3",16.37,163.108268,"[M+H]","cpd:C16741","ChEBI:18040","Aq",4,"Mix1",160401,"kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives; level 7: Alpha amino acids; level 8: L-alpha-amino acids",TRUE,"L-Hydroxylysine; 5-Hydroxy-L-lysine; L-erythro-5-Hydroxylysine; (5R)-5-Hydroxy-L-lysine",NA,NA,"YSMODUONRAFBET-UHNVWZDZSA-N","C(CC(C(=O)O)N)C(CN)O","(2S,5R)-2,6-diamino-5-hydroxyhexanoic acid"
"Hydroxyproline","HILIC",1,"20 - >10000","0.764","13.5","<10 - >10000","0.726","7","Amino Acid - collagen","trans Hydroxyl proline","THP","Hydroxyproline","C5H9NO3",10.07,132.066069,"[M+H]","cpd:C01157","ChEBI:18095","Aq",4,"Mix1",160401,"kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives; level 7: Proline and derivatives",TRUE,"Hydroxyproline; L-Hydroxyproline; trans-4-Hydroxy-L-proline",5810,"C5H9NO3","PMMYEEVYMWASQN-DMTCNVIQSA-N","C1C(CNC1C(=O)O)O","(2S,4R)-4-hydroxypyrrolidine-2-carboxylic acid"
"4-Aminobutyric acid","HILIC",1,"1000 - >10000","0.868","14.2","20 - >10000","0.895","7.6","Amino Acid - degraded","Aminobutyric Acid","GABA","GABA","C4H9NO2",11.155,104.071154,"[M+H]","cpd:C00334","ChEBI:16865","Aq",4,"Mix1",160401,"kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Gamma amino acids and derivatives",TRUE,"4-Aminobutanoate; 4-Aminobutanoic acid; 4-Aminobutyrate; 4-Aminobutyric acid; gamma-Aminobutyric acid; GABA",NA,NA,"BTCSSZJGUNDROE-UHFFFAOYSA-N","C(CC(=O)O)CN","4-aminobutanoic acid"
"Glycine betaine","HILIC",1,"100 - >10000","0.762","7.7","20 - 1000","0.229","1.7","Amino Acid derivative","Betaine","Glycine betaine","Glycine betaine","C5H11NO2",7.86,118.086804,"[M+H]","cpd:C00719","ChEBI:17750","Aq",4,"Mix1",160401,"kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives; level 7: Alpha amino acids; kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives; level 7: Alpha amino acids",TRUE,"Betaine; Trimethylaminoacetate; Glycine betaine; N,N,N-Trimethylglycine; Trimethylammonioacetate",NA,NA,"KWIUHFFTVRNATP-UHFFFAOYSA-N","C[N+](C)(C)CC(=O)[O-]","2-(trimethylazaniumyl)acetate"
"Dimethylglycine","HILIC",1,"100 - >10000","0.464","11.8","<10 - 1000","0.773","5.2","Amino Acid derivative","Dimethyl Glycine","DMG","Dimethylglycine","C4H9NO2",8.97,104.071154,"[M+H]","cpd:C01026","ChEBI:17724","Aq",4,"Mix1",160401,"kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives; level 7: Alpha amino acids; kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives; level 7: Alpha amino acids",TRUE,"N,N-Dimethylglycine; Dimethylglycine",NA,NA,"FFDGPVCHZBVARC-UHFFFAOYSA-N","CN(C)CC(=O)O","2-(dimethylamino)acetic acid"
"S-Adenosylhomocysteine","HILIC",1,"100 - >10000","0.81","18.9","<10 - 1000","0.7","11.9","Amino Acid synthesis","Adenosyl Homocysteine","SAH","SAH","C14H20N6O5S",10.85,385.129416,"[M+H]","cpd:C00021","ChEBI:16680","Aq",4,"Mix1",160401,"kingdom: Organic compounds; superclass: Nucleosides, nucleotides, and analogues; class: 5'-deoxyribonucleosides; subclass: 5'-deoxy-5'-thionucleosides; kingdom: Organic compounds; superclass: Nucleosides, nucleotides, and analogues; class: 5'-deoxyribonucleosides; subclass: 5'-deoxy-5'-thionucleosides",FALSE,"S-Adenosyl-L-homocysteine; S-Adenosylhomocysteine",NA,NA,"ZJUKTBDSGOFHSH-WFMPWKQPSA-N","C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CSCCC(C(=O)O)N)O)O)N","(2S)-2-amino-4-[[(2S,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methylsulfanyl]butanoic acid"
"S-Adenosylmethionine","HILIC",1,"1000 - >10000","0.817","35.3","20 - >10000","1.066","22.8","Amino Acid synthesis","Adenosyl Methionine","SAM","SAM","C15H22N6O5S",13.01,399.145066,"[M+H]","cpd:C00019","ChEBI:15414","Aq",4,"Mix1",160401,"kingdom: Organic compounds; superclass: Nucleosides, nucleotides, and analogues; class: 5'-deoxyribonucleosides; subclass: 5'-deoxy-5'-thionucleosides; kingdom: Organic compounds; superclass: Nucleosides, nucleotides, and analogues; class: 5'-deoxyribonucleosides; subclass: 5'-deoxy-5'-thionucleosides",FALSE,"S-Adenosyl-L-methionine; S-Adenosylmethionine; AdoMet; SAM",34755,"C15H22N6O5S","MEFKEPWMEQBLKI-AIRLBKTGSA-N","C[S+](CCC(C(=O)[O-])N)CC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O","(2S)-2-amino-4-[[(2S,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl-methylsulfonio]butanoate"
"L-Cystathionine","HILIC",1,NA,"0.74","18.3",NA,"0.829","18.5","Amino Acid synthesis","Cystathionine","Cystathionine","Cystathionine","C7H14N2O4S",13.14,223.075255,"[M+H]","cpd:C02291","ChEBI:17482","Aq",4,"Mix2",160401,"kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives; level 7: Cysteine and derivatives; level 8: L-cysteine-S-conjugates",TRUE,"L-Cystathionine",439258,"C7H14N2O4S","ILRYLPWNYFXEMH-WHFBIAKZSA-N","C(CSCC(C(=O)O)N)C(C(=O)O)N","(2S)-2-amino-4-[(2R)-2-amino-2-carboxyethyl]sulfanylbutanoic acid"
"L-Homocysteine","HILIC",1,"100 - >10000","0","dl","100 - >10000","0","dl","Amino Acid synthesis","L-Homocysteine","Homocysteine","Homocysteine","C4H9NO2S",8.7,136.043226,"[M+H]","cpd:C00155","ChEBI:17588","Aq",4,"Mix2",160401,"kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives; level 7: Alpha amino acids; level 8: L-alpha-amino acids",TRUE,"L-Homocysteine; L-2-Amino-4-mercaptobutyric acid; Homocysteine",91552,"C4H9NO2S","FFFHZYDWPBMWHY-VKHMYHEASA-N","C(CS)C(C(=O)O)N","(2S)-2-amino-4-sulfanylbutanoic acid"
"Shikimic acid","HILIC",-1,"<10 - 1000","dl","dl","100 - 1000","0.938","13.8","Amino Acid synthesis","Shikimic Acid","Shikimic acid","Shikimic acid","C7H10O5",10.97,173.045,"[M-H]","cpd:C00493","ChEBI:16119","Aq",5,"Mix1",160401,"kingdom: Organic compounds; superclass: Organic oxygen compounds; class: Organooxygen compounds; subclass: Alcohols and polyols; level 5: Cyclic alcohols and derivatives; level 6: Cyclitols and derivatives; level 7: Shikimic acids and derivatves",TRUE,"Shikimate; Shikimic acid; 3,4,5-Trihydroxy-1-cyclohexenecarboxylic acid",8742,"C7H10O5","JXOHGGNKMLTUBP-HSUXUTPPSA-N","C1C(C(C(C=C1C(=O)O)O)O)O","(3R,4S,5R)-3,4,5-trihydroxycyclohexene-1-carboxylic acid"
"Chitobiose","HILIC",1,"100 - >10000","0.434","25.7","<10 - >10000","0.299","20.1","Amino sugar","Chitobiose","Chitobiose","Chitobiose","C16H28N2O11",10.21,425.177138,"[M+H]","cpd:C01674","ChEBI:28681","Aq",4,"Mix2",160401,"kingdom: Organic compounds; superclass: Organic oxygen compounds; class: Organooxygen compounds; subclass: Carbohydrates and carbohydrate conjugates; level 5: Aminosaccharides; level 6: N-acyl-alpha-hexosamines",TRUE,"Chitobiose; Diacetylchitobiose; N,N'-Diacetylchitobiose",NA,NA,"PLJAKLUDUPBLGD-VLWZLFBZSA-N","CC(=O)NC1C(C(C(OC1OC(C(CO)O)C(C(C=O)NC(=O)C)O)CO)O)O","N-[(2S,3R,4R,5S,6R)-2-[(2R,3S,4R,5R)-5-acetamido-1,2,4-trihydroxy-6-oxohexan-3-yl]oxy-4,5-dihydroxy-6-(hydroxymethyl)oxan-3-yl]acetamide"
"Salicylic acid","HILIC",-1,"<10 - >10000","0.945","12.3","<10 - >10000","1.047","4.1","Antioxidant","Salicylic Acid","Salicylic acid","Salicylic acid","C7H6O3",2.2,137.02387,"[M-H]","cpd:C00805","ChEBI:16914","Aq",4,"Mix1",160401,"kingdom: Organic compounds; superclass: Benzenoids; class: Benzene and substituted derivatives; subclass: Benzoic acids and derivatives; level 5: Hydroxybenzoic acid derivatives; level 6: Salicylic acid and derivatives; level 7: Salicylic acids",TRUE,"Salicylate; o-Hydroxybenzoic acid; Salicylic acid",338,"C7H6O3","YGSDEFSMJLZEOE-UHFFFAOYSA-N","C1=CC=C(C(=C1)C(=O)O)O","2-hydroxybenzoic acid"
"Glutathione","HILIC",1,"100 - >10000","0.112","23.3","20 - >10000","0.143","19.1","Antioxidant","Glutathione","Glutathione","Glutathione","C10H17N3O6S",12,308.091634,"[M+H]","cpd:C00051","ChEBI:16856","Aq",4,"Mix1",160401,"kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Peptides; kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Peptides",TRUE,"Glutathione; 5-L-Glutamyl-L-cysteinylglycine; N-(N-gamma-L-Glutamyl-L-cysteinyl)glycine; gamma-L-Glutamyl-L-cysteinyl-glycine; GSH; Reduced glutathione",124886,"C10H17N3O6S","RWSXRVCMGQZWBV-WDSKDSINSA-N","C(CC(=O)NC(CS)C(=O)NCC(=O)O)C(C(=O)O)N","(2S)-2-amino-5-[[(2R)-1-(carboxymethylamino)-1-oxo-3-sulfanylpropan-2-yl]amino]-5-oxopentanoic acid"
"Trehalose","HILIC",-1,"100 - >10000","0.751","18.1","500 - >10000","1.046","8.4","Antioxidant","Trehalose","Trehalose","Trehalose","C12H22O11",13,341.10839,"[M-H]","cpd:C01083","ChEBI:16551","Aq",4,"Mix2",160401,"kingdom: Organic compounds; superclass: Organic oxygen compounds; class: Organooxygen compounds; subclass: Carbohydrates and carbohydrate conjugates; level 5: Glycosyl compounds; level 6: O-glycosyl compounds",TRUE,"alpha,alpha-Trehalose; alpha,alpha'-Trehalose; Trehalose",7427,"C12H22O11","HDTRYLNUVZCQOY-LIZSDCNHSA-N","C(C1C(C(C(C(O1)OC2C(C(C(C(O2)CO)O)O)O)O)O)O)O","(2R,3S,4S,5R,6R)-2-(hydroxymethyl)-6-[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxane-3,4,5-triol"
