"Compound.Name","Column","z","QE.LinRange","QE.RF.ratio","QE.RSD","TQS.LinRange","TQS.RF.ratio","TQS.RSD","Compound.Type","Compound.Name_old","Compound.Name_figure","Emperical.Formula","RT..min.","m.z","ionization_form","C0","CHEBI","Fraction1","Fraction2","Conc..uM","HILICMix","Date.added","KEGGNAME","Compound.Name_SQL","ChEBI_Names","CID","MolecularFormula","InChIKey","CanonicalSMILES","IUPACName","Classyfire"
"Agmatine","RP",1,NA,NA,NA,NA,NA,NA,"New2","Agmatine","Agmatine","C5H14N4",0.62,131.129671,"[M+H]","cpd:C00179","ChEBI:17431","CyanoAq","CyanoDCM",0.5,NA,180130,"Agmatine; (4-Aminobutyl) guanidine","Agmatine","ChEBI:17431",199,"C5H14N4","QYPPJABKJHAVHS-UHFFFAOYSA-N","C(CCN=C(N)N)CN","2-(4-aminobutyl)guanidine",NA
"alpha-Tocopherol, 2H6","RP",1,NA,NA,NA,NA,NA,NA,"Internal Standard","Alpha-Tocopherol, D6","Alpha-Tocopherol, D6","C29D6H44O2",14.725,436.4182,"[M+H]",NA,NA,"CyanoAq","CyanoDCM",5,NA,170301,NA,"Alpha Tocopherol D6",NA,NA,NA,NA,NA,NA,NA
"4-Aminobenzoic acid","RP",1,"<0.5 - >10000","0.784","3.7","5 - >10000","0.502","1.6","Lignin","Aminobenzoic Acid","Aminobenzoic Acid","C7H7NO2",2,138.055503,"[M+H]","cpd:C00568","ChEBI:30753","CyanoAq","CyanoDCM",0.25,NA,160401,"4-Aminobenzoate; ABEE; 4-Aminobenzoic acid; p-Aminobenzoate","Aminobenzoic Acid","ChEBI:17836",978,"C7H7NO2","ALYNCZNDIQEVRV-UHFFFAOYSA-N","C1=CC(=CC=C1C(=O)O)N","4-aminobenzoic acid",NA
"Arachidonic acid","RP",1,"2500 - >10000","2.621","25.5","50 - >10000","2.864","19.4","Fatty Acid","Arachidonic Acid","Arachidonic Acid","C20H32O2",12.15,305.248055,"[M+H]","cpd:C00219","ChEBI:15843","CyanoAq","CyanoDCM",0.25,NA,160401,"Arachidonate; Arachidonic acid; (5Z,8Z,11Z,14Z)-Icosatetraenoic acid; cis-5,8,11,14-Eicosatetraenoic acid; 5Z,8Z,11Z,14Z-Eicosatetraenoic acid; (5Z,8Z,11Z,14Z)-Icosa-5,8,11,14-tetraenoic acid","Arachidonic acid","ChEBI:15843",444899,"C20H32O2","YZXBAPSDXZZRGB-DOFZRALJSA-N","CCCCCC=CCC=CCC=CCC=CCCCC(=O)O","(5Z,8Z,11Z,14Z)-icosa-5,8,11,14-tetraenoic acid",NA
"Arachidonic acid, 2H8","RP",1,NA,NA,NA,NA,NA,NA,"Internal Standard","Arachiodonic Acid, D8","Arachiodonic Acid, D8","C20D8H24O2",12.15,313.2977,"[M+H]",NA,NA,"CyanoAq","CyanoDCM",20,NA,160401,NA,"Arachiodonic Acid D8",NA,NA,NA,NA,NA,NA,NA
"beta-Apo-8'-carotenal","RP",1,NA,NA,NA,NA,NA,NA,"New2","B-apo-8'-carotenal","Apocarotenal","C30H40O",14.56,417.31574,"[M+H]",NA,NA,"CyanoDCM","CyanoAq",NA,NA,NA,NA,"Apocarotenal",NA,101701200,"C30H40O","DFMMVLFMMAQXHZ-IPIGPKAOSA-N","CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=O)C)C","(2E,4E,6E,8E,10E,12E,14Z,16E)-2,6,11,15-tetramethyl-17-(2,6,6-trimethylcyclohexen-1-yl)heptadeca-2,4,6,8,10,12,14,16-octaenal",NA
"beta-Cyclocitral","RP",1,NA,NA,NA,NA,NA,NA,"New2","B-cyclocitral","b-Cyclocitral","C10H16O",8.39,153.12794,"[M+H]","cpd:C20425","ChEBI:53177","CyanoDCM","CyanoAq",NA,NA,NA,"beta-Cyclocitral; 2,6,6-Trimethyl-1-cyclohexene-1-carbaldehyde","b Cyclocitral",NA,9895,"C10H16O","MOQGCGNUWBPGTQ-UHFFFAOYSA-N","CC1=C(C(CCC1)(C)C)C=O","2,6,6-trimethylcyclohexene-1-carbaldehyde",NA
"Glycine betaine","RP",1,"50 - >10000","-0.411","7.9","500 - 5000","-0.436","2.7","Amino Acid derivative","Betaine","Glycine betaine","C5H11NO2",0.71,118.086804,"[M+H]","cpd:C00719","ChEBI:17750","CyanoAq","CyanoDCM",0.25,NA,160401,"Betaine; Trimethylaminoacetate; Glycine betaine; N,N,N-Trimethylglycine; Trimethylammonioacetate","Glycine betaine","ChEBI:17750",NA,NA,NA,NA,NA,"kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Amino_acids_peptides_and_analogues; level 5: Amino_acids_and_derivatives; level 6: Alpha_amino_acids_and_derivatives; level 7: Alpha_amino_acids; level 8: Alpha_amino_acids"
"beta-Ionine","RP",1,NA,NA,NA,NA,NA,NA,"New2","B-ionine","b-Ionine","C13H20O",9.71,193.15924,"[M+H]",NA,"ChEBI:32325","CyanoDCM","CyanoAq",NA,NA,NA,NA,"b Ionine",NA,NA,NA,NA,NA,NA,NA
"beta-Ionylidene acetaldehyde","RP",1,NA,NA,NA,NA,NA,NA,"New2","B-ionylidene-acetaldehyde","b-Ionylidene acetaldehyde","C15H22O",10.85,219.17489,"[M+H]",NA,NA,"CyanoDCM","CyanoAq",NA,NA,NA,NA,"b Ionylidene acetaldehyde",NA,NA,NA,NA,NA,NA,NA
"Butyrylcarnitine","RP",1,NA,NA,NA,NA,NA,NA,"New2","Butyryl-L-carnitine","carnitine","C11H21NO4",1.34,232.154884,"[M+H]",NA,"ChEBI:21949","CyanoAq","CyanoDCM",0.25,NA,180130,NA,"Butyrylcarnitine",NA,213144,"C11H21NO4","QWYFHHGCZUCMBN-SECBINFHSA-N","CCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C","(3R)-3-butanoyloxy-4-(trimethylazaniumyl)butanoate","kingdom: Organic_compounds; superclass: Lipids_and_lipid-like_molecules; class: Fatty_Acyls; subclass: Fatty_acid_esters; level 5: Acyl_carnitines; level 6: Acyl_carnitines; level 7: Acyl_carnitines; level 8: Acyl_carnitines"
"N-Decanoyl-L-homoserine lactone","RP",1,"5 - >10000","0.596","2.9","<0.5 - >10000","0.608","4.9","Quorum sensing","C10-HSL","C10-HSL","C14H25NO3",9.21,256.191269,"[M+H]",NA,NA,"CyanoAq","CyanoDCM",0.25,NA,160401,NA,"C10 HSL",NA,NA,NA,NA,NA,NA,NA
"N-3-Oxo-dodecanoyl-L-homoserine lactone","RP",1,"5 - >10000","0.489","3.9","<0.5 - >10000","0.774","3.8","Quorum sensing","C12-HSL","C12-HSL","C16H29NO3",10.35,284.222569,"[M+H]","cpd:C21201",NA,"CyanoAq","CyanoDCM",0.25,NA,160401,"N-3-Oxo-dodecanoyl-L-homoserine lactone; 3-Oxo-C12-HSL; 3-Oxo-N-[(3S)-tetrahydro-2-oxo-3-furanyl]-dodecanamide","C12 HSL",NA,NA,NA,NA,NA,NA,NA
"N-Tetradecanoyl-DL-homoserine lactone","RP",1,"50 - >10000","0.566","11","<0.5 - >10000","0.639","9.2","Quorum sensing","C14-HSL","C14-HSL","C18H33NO3",11.4,312.253869,"[M+H]",NA,NA,"CyanoAq","CyanoDCM",0.25,NA,160401,NA,"C14 HSL",NA,NA,NA,NA,NA,NA,NA
"N-Butyryl-L-homoserine lactone","RP",1,"50 - >10000","0.347","5.4","5 - >10000","0.367","3.4","Quorum sensing","C4-HSL","C4-HSL","C8H13NO3",1.47,172.097369,"[M+H]","cpd:C11837","ChEBI:29643","CyanoAq","CyanoDCM",0.25,NA,160401,"N-Butyryl-L-homoserine lactone","C4 HSL","ChEBI:29643",44602431,"C8H13NO3","VFFNZZXXTGXBOG-ZCFIWIBFSA-N","CCCC(=O)NC1CCOC1=O","N-[(3R)-2-oxooxolan-3-yl]butanamide",NA
"N-Hexanoyl-L-homoserine lactone","RP",1,"5 - >10000","0.477","5.2","5 - >10000","0.427","3.1","Quorum sensing","C6-HSL","C6-HSL","C10H17NO3",4.06,200.128669,"[M+H]","cpd:C21197",NA,"CyanoAq","CyanoDCM",0.25,NA,160401,"N-Hexanoyl-L-homoserine lactone; C6-HSL; N-[(3S)-Tetrahydro-2-oxo-3-furanyl]-hexanamide","C6 HSL",NA,NA,NA,NA,NA,NA,NA
"N-Octanoyl-L-homoserine lactone","RP",1,"5 - >10000","0.532","0.8","<0.5 - >10000","0.608","2.1","Quorum sensing","C8-HSL","C8-HSL","C12H21NO3",7.36,228.159969,"[M+H]","cpd:C21199",NA,"CyanoAq","CyanoDCM",0.25,NA,160401,"N-Octanoyl-L-homoserine lactone; C8-HSL; N-[(3S)-Tetrahydro-2-oxo-3-furanyl]octanamide","C8 HSL",NA,NA,NA,NA,NA,NA,NA
"Caffeic acid","RP",-1,"nd","nd","nd","150 - 30000","0","dl","Lignin","Caffeic Acid","Caffeic acid","C9H8O4",4.83,NA,NA,"cpd:C01197","ChEBI:16433","CyanoAq","CyanoDCM",0.75,NA,160401,"Caffeate; Caffeic acid; 3,4-Dihydroxy-trans-cinnamate; trans-Caffeate; (2E)-3-(3,4-Dihydroxyphenyl)prop-2-enoate","Caffeic acid","ChEBI:16433",689043,"C9H8O4","QAIPRVGONGVQAS-DUXPYHPUSA-N","C1=CC(=C(C=C1C=CC(=O)O)O)O","(E)-3-(3,4-dihydroxyphenyl)prop-2-enoic acid",NA
"Caffeine","RP",1,"5 - >10000","0.928","3.5","<0.5 - 5000","0.862","2.3","Purine","Caffeine","Caffeine","C8H10N4O2",3.85,195.088201,"[M+H]","cpd:C07481","ChEBI:27732","CyanoAq","CyanoDCM",0.25,NA,160401,"Caffeine; 1,3,7-Trimethylxanthine","Caffeine","ChEBI:27732",2519,"C8H10N4O2","RYYVLZVUVIJVGH-UHFFFAOYSA-N","CN1C=NC2=C1C(=O)N(C(=O)N2C)C","1,3,7-trimethylpurine-2,6-dione",NA
"Camalexin","RP",1,"<0.5 - >10000","0.918","2.2","<0.5 - 500","0.937","1.2","Phytohormone","Camalexin","Camalexin","C11H8N2S",6.96,201.048645,"[M+H]","cpd:C21721","ChEBI:22990","CyanoAq","CyanoDCM",0.25,NA,160401,"Camalexin; 3-(Thiazol-2-yl)indole","Camalexin",NA,636970,"C11H8N2S","IYODIJVWGPRBGQ-UHFFFAOYSA-N","C1=CC=C2C(=C1)C(=CN2)C3=NC=CS3","2-(1H-indol-3-yl)-1,3-thiazole",NA
"beta-Carotene","RP",1,"50 - >10000","3.212","23.2","5 - >10000","0.742","8.9","Antioxidant pigment","Carotene","b-Carotene","C40H56",16.42,536.4382,"[M]","cpd:C02094","ChEBI:17579","CyanoAq","CyanoDCM",0.25,NA,160401,"beta-Carotene; all-trans-beta-Carotene","b Carotene","ChEBI:17579",5280489,"C40H56","OENHQHLEOONYIE-JLTXGRSLSA-N","CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC2=C(CCCC2(C)C)C)C)C","1,3,3-trimethyl-2-[(1E,3E,5E,7E,9E,11E,13E,15E,17E)-3,7,12,16-tetramethyl-18-(2,6,6-trimethylcyclohexen-1-yl)octadeca-1,3,5,7,9,11,13,15,17-nonaenyl]cyclohexene",NA
"Cholesterol","RP",1,NA,NA,NA,NA,NA,NA,"Sterol","Cholesterol","Cholesterol","C27H46O",8.5,387.36269,"[M+H]","cpd:C00187","ChEBI:16113","CyanoAq","CyanoDCM",NA,NA,NA,"Cholesterol; Cholest-5-en-3beta-ol","Cholesterol","ChEBI:16113",5997,"C27H46O","HVYWMOMLDIMFJA-DPAQBDIFSA-N","CC(C)CCCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C","(3S,8S,9S,10R,13R,14S,17R)-10,13-dimethyl-17-[(2R)-6-methylheptan-2-yl]-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-ol",NA
"Choline","RP",1,"<0.5 - >10000","0.172","2.7","<0.5 - 5000","0.136","1.8","Vitamin (B-like)","Choline","Choline","C5H14NO",0.69,104.107539,"[M]","cpd:C00114","ChEBI:15354","CyanoAq","CyanoDCM",0.25,NA,160401,"Choline; Bilineurine","Choline","ChEBI:15354",305,"C5H14NO+","OEYIOHPDSNJKLS-UHFFFAOYSA-N","C[N+](C)(C)CCO","2-hydroxyethyl(trimethyl)azanium","kingdom: Organic_compounds; superclass: Organic_nitrogen_compounds; class: Organonitrogen_compounds; subclass: Quaternary_ammonium_salts; level 5: Cholines; level 6: Cholines; level 7: Cholines; level 8: Cholines"
"2-(3,5-Dichlorophenylcarbamoyl)-1,2-dimethylcyclopropane-1-carboxylic acid","RP",1,"5 - >10000","0.407","4.6","5 - >10000","0.517","2","Quorum sensing","cinnamoyl-HSL","cinnamoyl-HSL","C13H13NO3",6.425,232.097369,"[M+H]","cpd:C15249","ChEBI:79751","CyanoAq","CyanoDCM",0.25,NA,160401,"2-(3,5-Dichlorophenylcarbamoyl)-1,2-dimethylcyclopropane-1-carboxylic acid","cinnamoyl HSL","ChEBI:79751",156228,"C13H13Cl2NO3","KIHJEJVWUXTXPZ-UHFFFAOYSA-N","CC1(CC1(C)C(=O)O)C(=O)NC2=CC(=CC(=C2)Cl)Cl","2-[(3,5-dichlorophenyl)carbamoyl]-1,2-dimethylcyclopropane-1-carboxylic acid",NA
