"Compound_Name","mz","RT_minute","z","Column","HILIC_Mix","Concentration_uM","Ionization_Form","Liquid_Fraction","Compound_Type","Empirical_Formula","PubChem_Formula","PubChem_Code","KEGG_Code","KEGG_Names","ChEBI_Code","IUPAC_Code","InChI_Key_Code","Canon_SMILES_Code","Classyfire","Compound_Name_Original","Compound_Name_Figure","Compound_Name_SQL","Date_Added","Priority"
"L-Histidine",156.077302,11.45,1,"HILIC","Mix1",4,"[M+H]","Aq","Amino Acid","C6H9N3O2",NA,NA,"cpd:C00135","L-Histidine; (S)-alpha-Amino-1H-imidazole-4-propionic acid","ChEBI:15971","(2S)-2-amino-3-(1H-imidazol-5-yl)propanoic acid","HNDVDQJCIGZPNO-YFKPBYRVSA-N","C1=C(NC=N1)CC(C(=O)O)N","kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives; level 7: Histidine and derivatives","Histidine","Histidine","Histidine",160401,TRUE
"L-Isoleucine",132.102454,8.17,1,"HILIC","Mix1",4,"[M+H]","Aq","Amino Acid","C6H13NO2",NA,NA,"cpd:C00407","L-Isoleucine; 2-Amino-3-methylvaleric acid","ChEBI:17191","(2S,3S)-2-amino-3-methylpentanoic acid","AGPKZVBTJJNPAG-WHFBIAKZSA-N","CCC(C)C(C(=O)O)N","kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives; level 7: Isoleucine and derivatives","Isoleucine","Isoleucine","Isoleucine",160401,TRUE
"L-Kynurenine",209.092618,4.345,1,"HILIC",NA,NA,"[M+H]","Aq","Amino Acid","C10H12N2O3","C10H12N2O3",161166,"cpd:C00328","L-Kynurenine; 3-Anthraniloyl-L-alanine","ChEBI:16946","(2S)-2-amino-4-(2-aminophenyl)-4-oxobutanoic acid","YGPSJZOEDVAXAB-QMMMGPOBSA-N","C1=CC=C(C(=C1)C(=O)CC(C(=O)O)N)N","kingdom: Organic compounds; superclass: Organic oxygen compounds; class: Organooxygen compounds; subclass: Carbonyl compounds; level 5: Ketones; level 6: Aryl ketones; level 7: Phenylketones; level 8: Alkyl-phenylketones; kingdom: Organic compounds; superclass: Organic oxygen compounds; class: Organooxygen compounds; subclass: Carbonyl compounds; level 5: Ketones; level 6: Aryl ketones; level 7: Phenylketones; level 8: Alkyl-phenylketones","Kynurenine","Kynurenine","Kynurenine",160401,FALSE
"L-Leucine",132.102454,7.63,1,"HILIC","Mix1",4,"[M+H]","Aq","Amino Acid","C6H13NO2",NA,NA,"cpd:C00123","L-Leucine; 2-Amino-4-methylvaleric acid; (2S)-alpha-2-Amino-4-methylvaleric acid; (2S)-alpha-Leucine","ChEBI:15603","(2S)-2-amino-4-methylpentanoic acid","ROHFNLRQFUQHCH-YFKPBYRVSA-N","CC(C)CC(C(=O)O)N","kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives; level 7: Leucine and derivatives","Leucine","Leucine","Leucine",160401,TRUE
"L-Lysine",147.113353,17.5,1,"HILIC","Mix1",4,"[M+H]","Aq","Amino Acid","C6H14N2O2",NA,NA,"cpd:C00047","L-Lysine; Lysine acid; 2,6-Diaminohexanoic acid","ChEBI:18019","(2S)-2,6-diaminohexanoic acid","KDXKERNSBIXSRK-YFKPBYRVSA-N","C(CCN)CC(C(=O)O)N","kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives; level 7: Alpha amino acids; level 8: L-alpha-amino acids","Lysine","Lysine","Lysine",160401,TRUE
"L-Proline",116.071154,9.49,1,"HILIC","Mix1",4,"[M+H]","Aq","Amino Acid","C5H9NO2",NA,NA,"cpd:C00148","L-Proline; 2-Pyrrolidinecarboxylic acid","ChEBI:17203","(2S)-pyrrolidine-2-carboxylic acid","ONIBWKKTOPOVIA-BYPYZUCNSA-N","C1CC(NC1)C(=O)O","kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives; level 7: Proline and derivatives","Proline","Proline","Proline",160401,TRUE
"L-Serine",106.050419,11.86,1,"HILIC","Mix1",4,"[M+H]","Aq","Amino Acid","C3H7NO3",NA,NA,"cpd:C00065","L-Serine; L-2-Amino-3-hydroxypropionic acid; L-3-Hydroxy-alanine; Serine","ChEBI:17115","(2S)-2-amino-3-hydroxypropanoic acid","MTCFGRXMJLQNBG-REOHCLBHSA-N","C(C(C(=O)O)N)O","kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives; level 7: Serine and derivatives","Serine","Serine","Serine",160401,TRUE
"L-Threonine",120.066069,10.92,1,"HILIC","Mix1",4,"[M+H]","Aq","Amino Acid","C4H9NO3",NA,NA,"cpd:C00188","L-Threonine; 2-Amino-3-hydroxybutyric acid","ChEBI:16857","(2S,3R)-2-amino-3-hydroxybutanoic acid","AYFVYJQAPQTCCC-GBXIJSLDSA-N","CC(C(C(=O)O)N)O","kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives; level 7: Alpha amino acids; level 8: L-alpha-amino acids","Threonine","Threonine","Threonine",160401,TRUE
"L-Tyrosine",182.081719,9.76,1,"HILIC","Mix1",4,"[M+H]","Aq","Amino Acid","C9H11NO3",NA,NA,"cpd:C00082","L-Tyrosine; (S)-3-(p-Hydroxyphenyl)alanine; (S)-2-Amino-3-(p-hydroxyphenyl)propionic acid; Tyrosine","ChEBI:17895","(2S)-2-amino-3-(4-hydroxyphenyl)propanoic acid","OUYCCCASQSFEME-QMMMGPOBSA-N","C1=CC(=CC=C1CC(C(=O)O)N)O","kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives; level 7: Tyrosine and derivatives; kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives; level 7: Tyrosine and derivatives","Tyrosine","Tyrosine","Tyrosine",160401,TRUE
"L-Valine",118.086804,9.09,1,"HILIC","Mix1",4,"[M+H]","Aq","Amino Acid","C5H11NO2",NA,NA,"cpd:C00183","L-Valine; 2-Amino-3-methylbutyric acid","ChEBI:16414","(2S)-2-amino-3-methylbutanoic acid","KZSNJWFQEVHDMF-BYPYZUCNSA-N","CC(C)C(C(=O)O)N","kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives; level 7: Valine and derivatives","Valine","Valine","Valine",160401,TRUE
"L-Hydroxylysine",163.108268,16.37,1,"HILIC","Mix1",4,"[M+H]","Aq","Amino Acid - collagen","C6H14N2O3",NA,NA,"cpd:C16741","L-Hydroxylysine; 5-Hydroxy-L-lysine; L-erythro-5-Hydroxylysine; (5R)-5-Hydroxy-L-lysine","ChEBI:18040","(2S,5R)-2,6-diamino-5-hydroxyhexanoic acid","YSMODUONRAFBET-UHNVWZDZSA-N","C(CC(C(=O)O)N)C(CN)O","kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives; level 7: Alpha amino acids; level 8: L-alpha-amino acids","Hydroxylysine","Hydroxylysine","Hydroxylysine",160401,TRUE
"Hydroxyproline",132.066069,10.07,1,"HILIC","Mix1",4,"[M+H]","Aq","Amino Acid - collagen","C5H9NO3","C5H9NO3",5810,"cpd:C01157","Hydroxyproline; L-Hydroxyproline; trans-4-Hydroxy-L-proline","ChEBI:18095","(2S,4R)-4-hydroxypyrrolidine-2-carboxylic acid","PMMYEEVYMWASQN-DMTCNVIQSA-N","C1C(CNC1C(=O)O)O","kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives; level 7: Proline and derivatives","trans Hydroxyl proline","THP","Hydroxyproline",160401,TRUE
"4-Aminobutyric acid",104.071154,11.155,1,"HILIC","Mix1",4,"[M+H]","Aq","Amino Acid - degraded","C4H9NO2",NA,NA,"cpd:C00334","4-Aminobutanoate; 4-Aminobutanoic acid; 4-Aminobutyrate; 4-Aminobutyric acid; gamma-Aminobutyric acid; GABA","ChEBI:16865","4-aminobutanoic acid","BTCSSZJGUNDROE-UHFFFAOYSA-N","C(CC(=O)O)CN","kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Gamma amino acids and derivatives","Aminobutyric Acid","GABA","GABA",160401,TRUE
"Glycine betaine",118.086804,7.86,1,"HILIC","Mix1",4,"[M+H]","Aq","Betaine","C5H11NO2",NA,NA,"cpd:C00719","Betaine; Trimethylaminoacetate; Glycine betaine; N,N,N-Trimethylglycine; Trimethylammonioacetate","ChEBI:17750","2-(trimethylazaniumyl)acetate","KWIUHFFTVRNATP-UHFFFAOYSA-N","C[N+](C)(C)CC(=O)[O-]","kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives; level 7: Alpha amino acids; kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives; level 7: Alpha amino acids","Betaine","Glycine betaine","Glycine betaine",160401,TRUE
"Dimethylglycine",104.071154,8.97,1,"HILIC","Mix1",4,"[M+H]","Aq","Amino Acid derivative","C4H9NO2",NA,NA,"cpd:C01026","N,N-Dimethylglycine; Dimethylglycine","ChEBI:17724","2-(dimethylamino)acetic acid","FFDGPVCHZBVARC-UHFFFAOYSA-N","CN(C)CC(=O)O","kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives; level 7: Alpha amino acids; kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives; level 7: Alpha amino acids","Dimethyl Glycine","DMG","Dimethylglycine",160401,TRUE
"S-Adenosylhomocysteine",385.129416,10.85,1,"HILIC","Mix1",4,"[M+H]","Aq","Amino Acid synthesis","C14H20N6O5S",NA,NA,"cpd:C00021","S-Adenosyl-L-homocysteine; S-Adenosylhomocysteine","ChEBI:16680","(2S)-2-amino-4-[[(2S,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methylsulfanyl]butanoic acid","ZJUKTBDSGOFHSH-WFMPWKQPSA-N","C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CSCCC(C(=O)O)N)O)O)N","kingdom: Organic compounds; superclass: Nucleosides, nucleotides, and analogues; class: 5'-deoxyribonucleosides; subclass: 5'-deoxy-5'-thionucleosides; kingdom: Organic compounds; superclass: Nucleosides, nucleotides, and analogues; class: 5'-deoxyribonucleosides; subclass: 5'-deoxy-5'-thionucleosides","Adenosyl Homocysteine","SAH","SAH",160401,FALSE
"S-Adenosylmethionine",399.145066,13.01,1,"HILIC","Mix1",4,"[M+H]","Aq","Amino Acid synthesis","C15H22N6O5S","C15H22N6O5S",34755,"cpd:C00019","S-Adenosyl-L-methionine; S-Adenosylmethionine; AdoMet; SAM","ChEBI:15414","(2S)-2-amino-4-[[(2S,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl-methylsulfonio]butanoate","MEFKEPWMEQBLKI-AIRLBKTGSA-N","C[S+](CCC(C(=O)[O-])N)CC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O","kingdom: Organic compounds; superclass: Nucleosides, nucleotides, and analogues; class: 5'-deoxyribonucleosides; subclass: 5'-deoxy-5'-thionucleosides; kingdom: Organic compounds; superclass: Nucleosides, nucleotides, and analogues; class: 5'-deoxyribonucleosides; subclass: 5'-deoxy-5'-thionucleosides","Adenosyl Methionine","SAM","SAM",160401,FALSE
"L-Cystathionine",223.075255,13.14,1,"HILIC","Mix2",4,"[M+H]","Aq","Amino Acid synthesis","C7H14N2O4S","C7H14N2O4S",439258,"cpd:C02291","L-Cystathionine","ChEBI:17482","(2S)-2-amino-4-[(2R)-2-amino-2-carboxyethyl]sulfanylbutanoic acid","ILRYLPWNYFXEMH-WHFBIAKZSA-N","C(CSCC(C(=O)O)N)C(C(=O)O)N","kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives; level 7: Cysteine and derivatives; level 8: L-cysteine-S-conjugates","Cystathionine","Cystathionine","Cystathionine",160401,TRUE
"L-Homocysteine",136.043226,8.7,1,"HILIC","Mix2",4,"[M+H]","Aq","Amino Acid synthesis","C4H9NO2S","C4H9NO2S",91552,"cpd:C00155","L-Homocysteine; L-2-Amino-4-mercaptobutyric acid; Homocysteine","ChEBI:17588","(2S)-2-amino-4-sulfanylbutanoic acid","FFFHZYDWPBMWHY-VKHMYHEASA-N","C(CS)C(C(=O)O)N","kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives; level 7: Alpha amino acids; level 8: L-alpha-amino acids","L-Homocysteine","Homocysteine","Homocysteine",160401,TRUE
"Shikimic acid",173.045,10.97,-1,"HILIC","Mix1",5,"[M-H]","Aq","Amino Acid synthesis","C7H10O5","C7H10O5",8742,"cpd:C00493","Shikimate; Shikimic acid; 3,4,5-Trihydroxy-1-cyclohexenecarboxylic acid","ChEBI:16119","(3R,4S,5R)-3,4,5-trihydroxycyclohexene-1-carboxylic acid","JXOHGGNKMLTUBP-HSUXUTPPSA-N","C1C(C(C(C=C1C(=O)O)O)O)O","kingdom: Organic compounds; superclass: Organic oxygen compounds; class: Organooxygen compounds; subclass: Alcohols and polyols; level 5: Cyclic alcohols and derivatives; level 6: Cyclitols and derivatives; level 7: Shikimic acids and derivatves","Shikimic Acid","Shikimic acid","Shikimic acid",160401,TRUE
"Chitobiose",425.177138,10.21,1,"HILIC","Mix2",4,"[M+H]","Aq","Amino sugar","C16H28N2O11",NA,NA,"cpd:C01674","Chitobiose; Diacetylchitobiose; N,N'-Diacetylchitobiose","ChEBI:28681","N-[(2S,3R,4R,5S,6R)-2-[(2R,3S,4R,5R)-5-acetamido-1,2,4-trihydroxy-6-oxohexan-3-yl]oxy-4,5-dihydroxy-6-(hydroxymethyl)oxan-3-yl]acetamide","PLJAKLUDUPBLGD-VLWZLFBZSA-N","CC(=O)NC1C(C(C(OC1OC(C(CO)O)C(C(C=O)NC(=O)C)O)CO)O)O","kingdom: Organic compounds; superclass: Organic oxygen compounds; class: Organooxygen compounds; subclass: Carbohydrates and carbohydrate conjugates; level 5: Aminosaccharides; level 6: N-acyl-alpha-hexosamines","Chitobiose","Chitobiose","Chitobiose",160401,TRUE
"Salicylic acid",137.02387,2.2,-1,"HILIC","Mix1",4,"[M-H]","Aq","Antioxidant","C7H6O3","C7H6O3",338,"cpd:C00805","Salicylate; o-Hydroxybenzoic acid; Salicylic acid","ChEBI:16914","2-hydroxybenzoic acid","YGSDEFSMJLZEOE-UHFFFAOYSA-N","C1=CC=C(C(=C1)C(=O)O)O","kingdom: Organic compounds; superclass: Benzenoids; class: Benzene and substituted derivatives; subclass: Benzoic acids and derivatives; level 5: Hydroxybenzoic acid derivatives; level 6: Salicylic acid and derivatives; level 7: Salicylic acids","Salicylic Acid","Salicylic acid","Salicylic acid",160401,TRUE
"Glutathione",308.091634,12,1,"HILIC","Mix1",4,"[M+H]","Aq","Antioxidant","C10H17N3O6S","C10H17N3O6S",124886,"cpd:C00051","Glutathione; 5-L-Glutamyl-L-cysteinylglycine; N-(N-gamma-L-Glutamyl-L-cysteinyl)glycine; gamma-L-Glutamyl-L-cysteinyl-glycine; GSH; Reduced glutathione","ChEBI:16856","(2S)-2-amino-5-[[(2R)-1-(carboxymethylamino)-1-oxo-3-sulfanylpropan-2-yl]amino]-5-oxopentanoic acid","RWSXRVCMGQZWBV-WDSKDSINSA-N","C(CC(=O)NC(CS)C(=O)NCC(=O)O)C(C(=O)O)N","kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Peptides; kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Peptides","Glutathione","Glutathione","Glutathione",160401,TRUE
"Trehalose",341.10839,13,-1,"HILIC","Mix2",4,"[M-H]","Aq","Antioxidant","C12H22O11","C12H22O11",7427,"cpd:C01083","alpha,alpha-Trehalose; alpha,alpha'-Trehalose; Trehalose","ChEBI:16551","(2R,3S,4S,5R,6R)-2-(hydroxymethyl)-6-[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxane-3,4,5-triol","HDTRYLNUVZCQOY-LIZSDCNHSA-N","C(C1C(C(C(C(O1)OC2C(C(C(C(O2)CO)O)O)O)O)O)O)O","kingdom: Organic compounds; superclass: Organic oxygen compounds; class: Organooxygen compounds; subclass: Carbohydrates and carbohydrate conjugates; level 5: Glycosyl compounds; level 6: O-glycosyl compounds","Trehalose","Trehalose","Trehalose",160401,TRUE
"Dihydroxyacetone phosphate",168.990203,12.86,-1,"HILIC","Mix2",4,"[M-H]","Aq","Calvin cycle intermediate","C3H7O6P","C3H7O6P",668,"cpd:C00111","Glycerone phosphate; Dihydroxyacetone phosphate; 3-Hydroxy-2-oxopropyl phosphate","ChEBI:16108","(3-hydroxy-2-oxopropyl) dihydrogen phosphate","GNGACRATGGDKBX-UHFFFAOYSA-N","C(C(=O)COP(=O)(O)O)O","kingdom: Organic compounds; superclass: Organic oxygen compounds; class: Organooxygen compounds; subclass: Carbohydrates and carbohydrate conjugates; level 5: Monosaccharides; level 6: Monosaccharide phosphates; kingdom: Organic compounds; superclass: Organic oxygen compounds; class: Organooxygen compounds; subclass: Carbohydrates and carbohydrate conjugates; level 5: Monosaccharides; level 6: Monosaccharide phosphates","DHAP","DHAP","Dihydroxyacetone phosphate",160401,NA
"Acetoacetyl-CoA",850.128524,10.6,-1,"HILIC","Mix1",4,"[M-H]","Aq","Co-enzyme A","C25H40N7O18P3S","C25H40N7O18P3S",92153,"cpd:C00332","Acetoacetyl-CoA; Acetoacetyl coenzyme A; 3-Acetoacetyl-CoA","ChEBI:15345","S-[2-[3-[[(2R)-4-[[[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] 3-oxobutanethioate","OJFDKHTZOUZBOS-CITAKDKDSA-N","CC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O","kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Fatty Acyls; subclass: Fatty acyl thioesters; level 5: Acyl CoAs; level 6: 3-oxo-acyl CoAs","Acetoacetyl CoA","Acetoacetyl CoA","Acetoacetyl CoA",160401,TRUE
