"C0","Latest.ChEBI","Compound.Type","Column","Compound.Name","Compound.Name_old","Compound.Name_figure","Compound.Name_SQL","QE.LinRange","QE.RF.ratio","QE.RSD","TQS.LinRange","TQS.RF.ratio","TQS.RSD","Emperical.Formula","RT..min.","m.z","ionization_form","z","Fraction1","Fraction2","Conc..uM","HILICMix","Date.added","CHEBI","KEGGNAME","name"
"cpd:C00021","ChEBI:16680","Amino Acid synthesis","RP","S-Adenosylhomocysteine","Adenosyl Homocysteine","SAH","SAH","50 - >10000","0.245","35.9","May-00","0.118","2.2","C14H20N6O5S",0.96,385.129416,"[M+H]",1,"CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:16680","S-Adenosyl-L-homocysteine; S-Adenosylhomocysteine","S-Adenosyl-L-homocysteine; S-Adenosylhomocysteine"
"cpd:C00021","ChEBI:16680","Amino Acid synthesis","HILIC","S-Adenosylhomocysteine","Adenosyl Homocysteine","SAH","SAH","100 - >10000","0.81","18.9","<10 - 1000","0.7","11.9","C14H20N6O5S",10.85,385.129416,"[M+H]",1,"HILICPos",NA,4,"Mix1",160401,"ChEBI:16680","S-Adenosyl-L-homocysteine; S-Adenosylhomocysteine","S-Adenosyl-L-homocysteine; S-Adenosylhomocysteine"
"cpd:C00019","ChEBI:15414","Amino Acid synthesis","RP","S-Adenosylmethionine","Adenosyl Methionine","SAM","SAM","500 - >10000","0.064","7","50 - >10000","0.091","4.4","C15H22N6O5S",0.71,399.145066,"[M+H]",1,"CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:15414","S-Adenosyl-L-methionine; S-Adenosylmethionine; AdoMet; SAM","S-Adenosyl-L-methionine; S-Adenosylmethionine; AdoMet; SAM"
"cpd:C00019","ChEBI:15414","Amino Acid synthesis","HILIC","S-Adenosylmethionine","Adenosyl Methionine","SAM","SAM","1000 - >10000","0.817","35.3","20 - >10000","1.066","22.8","C15H22N6O5S",13.01,399.145066,"[M+H]",1,"HILICPos",NA,4,"Mix1",160401,"ChEBI:15414","S-Adenosyl-L-methionine; S-Adenosylmethionine; AdoMet; SAM","S-Adenosyl-L-methionine; S-Adenosylmethionine; AdoMet; SAM"
"cpd:C00179","ChEBI:17431","New2","RP","Agmatine","Agmatine","Agmatine","Agmatine",NA,NA,NA,NA,NA,NA,"C5H14N4",0.62,131.129671,"[M+H]",1,"CyanoAq","CyanoDCM",0.5,NA,180130,"ChEBI:17431","Agmatine; (4-Aminobutyl) guanidine","Agmatine; (4-Aminobutyl) guanidine"
"cpd:C00568","ChEBI:17836","Lignin","RP","4-Aminobenzoic acid","Aminobenzoic Acid","Aminobenzoic Acid","Aminobenzoic Acid","<0.5 - >10000","0.784","3.7","5 - >10000","0.502","1.6","C7H7NO2",2,138.055503,"[M+H]",1,"CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:30753","4-Aminobenzoate; ABEE; 4-Aminobenzoic acid; p-Aminobenzoate","4-Aminobenzoate; ABEE; 4-Aminobenzoic acid; p-Aminobenzoate"
"cpd:C00219","ChEBI:15843","Fatty Acid","RP","Arachidonic acid","Arachidonic Acid","Arachidonic Acid","Arachidonic acid","2500 - >10000","2.621","25.5","50 - >10000","2.864","19.4","C20H32O2",12.15,305.248055,"[M+H]",1,"CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:15843","Arachidonate; Arachidonic acid; (5Z,8Z,11Z,14Z)-Icosatetraenoic acid; cis-5,8,11,14-Eicosatetraenoic acid","Arachidonate; Arachidonic acid; (5Z,8Z,11Z,14Z)-Icosatetraenoic acid; cis-5,8,11,14-Eicosatetraenoic acid; 5Z,8Z,11Z,14Z-Eicosatetraenoic acid; (5Z,8Z,11Z,14Z)-Icosa-5,8,11,14-tetraenoic acid"
"cpd:C20425",NA,"New2","RP","beta-Cyclocitral","B-cyclocitral","b-Cyclocitral","b Cyclocitral",NA,NA,NA,NA,NA,NA,"C10H16O",8.39,153.12794,"[M+H]",1,"CyanoDCM","CyanoAq",NA,NA,NA,"ChEBI:53177",NA,"beta-Cyclocitral; 2,6,6-Trimethyl-1-cyclohexene-1-carbaldehyde"
"cpd:C00719","ChEBI:17750","Amino Acid derivative","RP","Glycine betaine","Betaine","Glycine betaine","Glycine betaine","50 - >10000","-0.411","7.9","500 - 5000","-0.436","2.7","C5H11NO2",0.71,118.086804,"[M+H]",1,"CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:17750","Betaine; Trimethylaminoacetate; Glycine betaine; N,N,N-Trimethylglycine; Trimethylammonioacetate","Betaine; Trimethylaminoacetate; Glycine betaine; N,N,N-Trimethylglycine; Trimethylammonioacetate"
"cpd:C00719","ChEBI:17750","Amino Acid derivative","HILIC","Glycine betaine","Betaine","Glycine betaine","Glycine betaine","100 - >10000","0.762","7.7","20 - 1000","0.229","1.7","C5H11NO2",7.86,118.086804,"[M+H]",1,"HILICPos",NA,4,"Mix1",160401,"ChEBI:17750","Betaine; Trimethylaminoacetate; Glycine betaine; N,N,N-Trimethylglycine; Trimethylammonioacetate","Betaine; Trimethylaminoacetate; Glycine betaine; N,N,N-Trimethylglycine; Trimethylammonioacetate"
"cpd:C21201",NA,"Quorum sensing","RP","N-3-Oxo-dodecanoyl-L-homoserine lactone","C12-HSL","C12-HSL","C12 HSL","5 - >10000","0.489","3.9","<0.5 - >10000","0.774","3.8","C16H29NO3",10.35,284.222569,"[M+H]",1,"CyanoAq","CyanoDCM",0.25,NA,160401,NA,"N-3-Oxo-dodecanoyl-L-homoserine lactone; 3-Oxo-C12-HSL; 3-Oxo-N-[(3S)-tetrahydro-2-oxo-3-furanyl]-dodecanamide","N-3-Oxo-dodecanoyl-L-homoserine lactone; 3-Oxo-C12-HSL; 3-Oxo-N-[(3S)-tetrahydro-2-oxo-3-furanyl]-dodecanamide"
"cpd:C11837","ChEBI:29643","Quorum sensing","RP","N-Butyryl-L-homoserine lactone","C4-HSL","C4-HSL","C4 HSL","50 - >10000","0.347","5.4","5 - >10000","0.367","3.4","C8H13NO3",1.47,172.097369,"[M+H]",1,"CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:29643","N-Butyryl-L-homoserine lactone","N-Butyryl-L-homoserine lactone"
"cpd:C21197",NA,"Quorum sensing","RP","N-Hexanoyl-L-homoserine lactone","C6-HSL","C6-HSL","C6 HSL","5 - >10000","0.477","5.2","5 - >10000","0.427","3.1","C10H17NO3",4.06,200.128669,"[M+H]",1,"CyanoAq","CyanoDCM",0.25,NA,160401,NA,"N-Hexanoyl-L-homoserine lactone; C6-HSL; N-[(3S)-Tetrahydro-2-oxo-3-furanyl]-hexanamide","N-Hexanoyl-L-homoserine lactone; C6-HSL; N-[(3S)-Tetrahydro-2-oxo-3-furanyl]-hexanamide"
"cpd:C21199",NA,"Quorum sensing","RP","N-Octanoyl-L-homoserine lactone","C8-HSL","C8-HSL","C8 HSL","5 - >10000","0.532","0.8","<0.5 - >10000","0.608","2.1","C12H21NO3",7.36,228.159969,"[M+H]",1,"CyanoAq","CyanoDCM",0.25,NA,160401,NA,"N-Octanoyl-L-homoserine lactone; C8-HSL; N-[(3S)-Tetrahydro-2-oxo-3-furanyl]octanamide","N-Octanoyl-L-homoserine lactone; C8-HSL; N-[(3S)-Tetrahydro-2-oxo-3-furanyl]octanamide"
"cpd:C01197","ChEBI:16433","Lignin","RP","Caffeic acid","Caffeic Acid","Caffeic acid","Caffeic acid","nd","nd","nd","150 - 30000","0","dl","C9H8O4",4.83,NA,NA,-1,"CyanoAq","CyanoDCM",0.75,NA,160401,"ChEBI:16433","Caffeate; Caffeic acid; 3,4-Dihydroxy-trans-cinnamate; trans-Caffeate; (2E)-3-(3,4-Dihydroxyphenyl)prop-2-enoate","Caffeate; Caffeic acid; 3,4-Dihydroxy-trans-cinnamate; trans-Caffeate; (2E)-3-(3,4-Dihydroxyphenyl)prop-2-enoate"
"cpd:C07481","ChEBI:27732","Purine","RP","Caffeine","Caffeine","Caffeine","Caffeine","5 - >10000","0.928","3.5","<0.5 - 5000","0.862","2.3","C8H10N4O2",3.85,195.088201,"[M+H]",1,"CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:27732","Caffeine; 1,3,7-Trimethylxanthine","Caffeine; 1,3,7-Trimethylxanthine"
"cpd:C21721",NA,"Phytohormone","RP","Camalexin","Camalexin","Camalexin","Camalexin","<0.5 - >10000","0.918","2.2","<0.5 - 500","0.937","1.2","C11H8N2S",6.96,201.048645,"[M+H]",1,"CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:22990",NA,"Camalexin; 3-(Thiazol-2-yl)indole"
"cpd:C02094","ChEBI:17579","Antioxidant pigment","RP","beta-Carotene","Carotene","b-Carotene","b Carotene","50 - >10000","3.212","23.2","5 - >10000","0.742","8.9","C40H56",16.42,536.4382,"[M]",1,"CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:17579","beta-Carotene; all-trans-beta-Carotene","beta-Carotene; all-trans-beta-Carotene"
"cpd:C00187","ChEBI:16113","Sterol","RP","Cholesterol","Cholesterol","Cholesterol","Cholesterol",NA,NA,NA,NA,NA,NA,"C27H46O",8.5,387.36269,"[M+H]",1,"CyanoAq","CyanoDCM",NA,NA,NA,"ChEBI:16113","Cholesterol; Cholest-5-en-3beta-ol","Cholesterol; Cholest-5-en-3beta-ol"
"cpd:C00114","ChEBI:15354","Vitamin (B-like)","RP","Choline","Choline","Choline","Choline","<0.5 - >10000","0.172","2.7","<0.5 - 5000","0.136","1.8","C5H14NO",0.69,104.107539,"[M]",1,"CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:15354","Choline; Bilineurine","Choline; Bilineurine"
"cpd:C00114","ChEBI:15354","Vitamin (B-like)","HILIC","Choline","Choline","Choline","Choline","100 - >10000","0.998","32.7","20 - >10000","0.782","11.6","C5H14NO",15.265,104.107539,"[M]",1,"HILICPos",NA,4,"Mix1",160401,"ChEBI:15354","Choline; Bilineurine","Choline; Bilineurine"
"cpd:C15249","ChEBI:79751","Quorum sensing","RP","2-(3,5-Dichlorophenylcarbamoyl)-1,2-dimethylcyclopropane-1-carboxylic acid","cinnamoyl-HSL","cinnamoyl-HSL","cinnamoyl HSL","5 - >10000","0.407","4.6","5 - >10000","0.517","2","C13H13NO3",6.425,232.097369,"[M+H]",1,"CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:79751","2-(3,5-Dichlorophenylcarbamoyl)-1,2-dimethylcyclopropane-1-carboxylic acid","2-(3,5-Dichlorophenylcarbamoyl)-1,2-dimethylcyclopropane-1-carboxylic acid"
"cpd:C00194","ChEBI:18408","Vitamin B12","RP","Adenosylcobalamin","Coenzyme B12","Adenosyl B12","Adenosylcobalamin","50 - >10000","2.774","5.5","5 - >10000","1.06","2.6","C72H100CoN18O17P",5.4,790.3367,"[2M+H]",2,"CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:18408","Cobamide coenzyme; Adenosylcobalamin; Adenosylcob(III)alamin; Deoxyadenosylcobalamin; Cobamamide; Vitamin B12 coenzyme; 5,6-Dimethylbenzimidazolyl-5-deoxyadenosyl-cobamide; (5'-Deoxy-5'-adenosyl)cobamide coenzyme; (5,6-Dimethylbenzimidazolyl)cobamide coenzyme; alpha-(5,6-Dimethylbenzimidazolyl)cobamide coenzyme; 5'-Deoxy-5'-adenosylcobalamin; 5'-Deoxy-5'-adenosyl vitamin B12; 5'-Deoxy-5'-adenosyl-5,6-dimethylbenzimidazolylcobamide; 5,6-Dimethylbenzimidazolyl-Co-5'-deoxy-5'-adenosylcobamide; Calomide; Cobalamin coenzyme; Coenzyme B12; DMBC coenzyme; Dibencozide; Funacomide","Cobamide coenzyme; Adenosylcobalamin; Adenosylcob(III)alamin; Deoxyadenosylcobalamin; Cobamamide; Vitamin B12 coenzyme; 5,6-Dimethylbenzimidazolyl-5-deoxyadenosyl-cobamide; (5'-Deoxy-5'-adenosyl)cobamide coenzyme; (5,6-Dimethylbenzimidazolyl)cobamide coenzyme; alpha-(5,6-Dimethylbenzimidazolyl)cobamide coenzyme; 5'-Deoxy-5'-adenosylcobalamin; 5'-Deoxy-5'-adenosyl vitamin B12; 5'-Deoxy-5'-adenosyl-5,6-dimethylbenzimidazolylcobamide; 5,6-Dimethylbenzimidazolyl-Co-5'-deoxy-5'-adenosylcobamide; Calomide; Cobalamin coenzyme; Coenzyme B12; DMBC coenzyme; Dibencozide; Funacomide"
"cpd:C11378","ChEBI:46245","Quinone","RP","Coenzyme Q10","Coenzyme Q10","Coenzyme Q10","Coenzyme Q10","50 - >10000","13.29","15.3","5 - >10000","0.933","5.1","C59H90O4",16.61,863.691735,"[M+H]",1,"CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:46245","Ubiquinone-10; Ubidecarenone; Coenzyme Q10","Ubiquinone-10; Ubidecarenone; Coenzyme Q10"
"cpd:C01419","ChEBI:4047","New","RP","L-Cysteinylglycine","Cys-Gly","Cys-Gly","Cys Gly",NA,NA,NA,NA,NA,NA,"C5H10N2O3S",0.72,179.04904,"[M+H]",1,"CyanoAq","CyanoDCM",0.25,NA,170331,"ChEBI:4047","Cys-Gly; L-Cysteinylglycine","Cys-Gly; L-Cysteinylglycine"
"cpd:C01419","ChEBI:4047","New","HILIC","L-Cysteinylglycine","Cys-Gly","Cys-Gly","Cys Gly",NA,NA,NA,NA,NA,NA,"C5H10N2O3S",9.53,179.04904,"[M+H]",1,"HILICPos",NA,5,"Mix1",170331,"ChEBI:4047","Cys-Gly; L-Cysteinylglycine","Cys-Gly; L-Cysteinylglycine"
"cpd:C01419","ChEBI:4047","New","HILIC","Cys-Gly, oxidized","Cys-Gly oxidized","Cys-Gly oxidized","Cys Gly oxidized",NA,NA,NA,NA,NA,NA,"C10H18N4O6S2",11.85,355.074605,"[M+H]",1,"HILICPos",NA,4,"Mix1",170331,NA,NA,"Cys-Gly; L-Cysteinylglycine"
"cpd:C01909","ChEBI:16691","Vitamin","RP","Desthiobiotin","Desthiobiotin","Desthiobiotin","Desthiobiotin","5 - >10000","0.894","2.4","May-00","0.757","2.4","C10H18N2O3",4.5,215.139568,"[M+H]",1,"CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:16691","Dethiobiotin; Desthiobiotin","Dethiobiotin; Desthiobiotin"
"cpd:C06429","ChEBI:28125","Fatty Acid","RP","Docosahexaenoic acid","DHA","DHA","Docosahexaenoic acid","5000 - >10000","2.031","31.8","50 - >10000","2.077","17.4","C22H32O2",12.23,329.248055,"[M+H]",1,"CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:36005","(4Z,7Z,10Z,13Z,16Z,19Z)-Docosahexaenoic acid; 4,7,10,13,16,19-Docosahexaenoic acid; Docosahexaenoic acid; Docosahexaenoate","(4Z,7Z,10Z,13Z,16Z,19Z)-Docosahexaenoic acid; 4,7,10,13,16,19-Docosahexaenoic acid; Docosahexaenoic acid; Docosahexaenoate; 4Z,7Z,10Z,13Z,16Z,19Z-Docosahexaenoic acid; (4Z,7Z,10Z,13Z,16Z,19Z)-Docosa-4,7,10,13,16,19-hexaenoic acid"
"cpd:C02029","ChEBI:17874","Phytohormone","RP","Dihydrozeatin","DHZ","DHZ","Dihydrozeatin","nd","nd","nd","50 - 50","0.147","54.5","C10H15N5O",2.01,NA,NA,-1,"CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:17874","Dihydrozeatin; 2-Methyl-4-(1H-purin-6-ylamino)butan-1-ol; N6-(4-Hydroxyisopentanyl)adenine","Dihydrozeatin; 2-Methyl-4-(1H-purin-6-ylamino)butan-1-ol; N6-(4-Hydroxyisopentanyl)adenine"
"cpd:C01026","ChEBI:17724","Amino Acid derivative","RP","Dimethylglycine","Dimethyl glycine","DMG","Dimethylglycine","50 - >10000","0.079","71.3","50 - 5000","0.059","9.1","C4H9NO2",0.69,104.071154,"[M+H]",1,"CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:17724","N,N-Dimethylglycine; Dimethylglycine","N,N-Dimethylglycine; Dimethylglycine"
"cpd:C01026","ChEBI:17724","Amino Acid derivative","HILIC","Dimethylglycine","Dimethyl Glycine","DMG","Dimethylglycine","100 - >10000","0.464","11.8","<10 - 1000","0.773","5.2","C4H9NO2",8.97,104.071154,"[M+H]",1,"HILICPos",NA,4,"Mix1",160401,"ChEBI:17724","N,N-Dimethylglycine; Dimethylglycine","N,N-Dimethylglycine; Dimethylglycine"
"cpd:C03114","ChEBI:15890","Vitamin synthesis","RP","Dimethylbenzimidazole","Dimethyl-benzimidazole","DMB","Dimethylbenzimidazole","5 - >10000","0.934","2","<0.5 - >10000","0.92","1.2","C9H10N2",3.38,147.092223,"[M+H]",1,"CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:15890","Dimethylbenzimidazole; 5,6-Dimethylbenzimidazole","Dimethylbenzimidazole; 5,6-Dimethylbenzimidazole"
"cpd:C13732","ChEBI:34727","Toxin ","RP","Domoic acid","Domoic Acid","Domoic acid","Domoic acid","5 - >10000","0.836","1.3","5 - >10000","0.897","2.8","C15H21NO6",2.72,312.144714,"[M+H]",1,"CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:34727","Domoic acid","Domoic acid"
"cpd:C06428","ChEBI:28364","Fatty Acid","RP","Eicosapentaenoic acid","EPA","EPA","Eicosapentaenoic acid","5000 - >10000","10.797","6.4","50 - >10000","4.079","13.3","C20H30O2",12.095,303.232404,"[M+H]",1,"CyanoAq","CyanoDCM",1,NA,160401,"ChEBI:28364","(5Z,8Z,11Z,14Z,17Z)-Icosapentaenoic acid; (5Z,8Z,11Z,14Z,17Z)-Eicosapentaenoic acid; Eicosapentaenoic acid; 5,8,11,14,17-Icosapentaenoic acid; (5Z,8Z,11Z,14Z,17Z)-Eicosapentaenoate","(5Z,8Z,11Z,14Z,17Z)-Icosapentaenoic acid; (5Z,8Z,11Z,14Z,17Z)-Eicosapentaenoic acid; Eicosapentaenoic acid; 5,8,11,14,17-Icosapentaenoic acid; (5Z,8Z,11Z,14Z,17Z)-Eicosapentaenoate; (5Z,8Z,11Z,14Z,17Z)-Icosapentaenoate; 5Z,8Z,11Z,14Z,17Z-Eicosapentaenoic acid; (5Z,8Z,11Z,14Z,17Z)-Icosa-5,8,11,14,17-pentaenoic acid"
"cpd:C01694","ChEBI:16933","Sterol","RP","Ergosterol","Ergosterol","Ergosterol","Ergosterol","50 - 5000","0.489","10.8","50 - 5000","0.533","6.3","C28H44O",13.76,379.336475,"[M-OH]",1,"CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:16933","Ergosterol; Provitamin D2","Ergosterol; Provitamin D2"
"cpd:C07527","ChEBI:116735","Lignin","RP","Ethyl aminobenzoate","Ethyl 3 aminobenzoate","Ethyl aminobenzoate","Ethyl aminobenzoate","5 - >10000","0.924","3","<0.5 - 500","0.38","27.6","C9H11NO2",3.365,166.086804,"[M+H]",1,"CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:116735","Benzocaine; Ethyl aminobenzoate","Benzocaine; Ethyl aminobenzoate"
"cpd:C07527","ChEBI:116735","Lignin","HILIC","Ethyl aminobenzoate","Ethyl 3 aminobenzoate","Ethyl aminobenzoate","Ethyl aminobenzoate",NA,NA,NA,NA,NA,NA,"C9H11NO2",2.01,166.086804,"[M+H]",1,"HILICPos",NA,NA,NA,NA,"ChEBI:116735","Benzocaine; Ethyl aminobenzoate","Benzocaine; Ethyl aminobenzoate"
"cpd:C01494","ChEBI:17620","Lignin","RP","Ferulic acid","Ferulic Acid","Ferulic acid","Ferulic acid","50 - >10000","0.852","4.5","5 - >10000","0.611","12.2","C10H10O4",5.97,195.065735,"[M+H]",1,"CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:17620","Ferulate; Ferulic acid; 4-Hydroxy-3-methoxycinnamic acid; 3-Methoxy-4-hydroxy-trans-cinnamate; 4-Hydroxy-3-methoxycinnamate","Ferulate; Ferulic acid; 4-Hydroxy-3-methoxycinnamic acid; 3-Methoxy-4-hydroxy-trans-cinnamate; 4-Hydroxy-3-methoxycinnamate"
"cpd:C01699","ChEBI:28833","Phytohormone","RP","Gibberellin A3","GA3","GA3","Gibberellin A3","nd","nd","nd","5 - >10000","0.437","15.7","C19H22O6",5.16,NA,NA,-1,"CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:28833","Gibberellin A3; Gibberellic acid; Gibberellin","Gibberellin A3; Gibberellic acid; Gibberellin"
"cpd:C11864","ChEBI:32902","Phytohormone","RP","Gibberellin A4","GA4","GA4","Gibberellin A4","nd","nd","nd","5 - >10000","0.603","4.4","C19H24O5",8.18,NA,NA,-1,"CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:32902","Gibberellin A4","Gibberellin A4"
"cpd:C00051","ChEBI:16856","Antioxidant","RP","Glutathione","Glutathione","Glutathione","Glutathione","50 - >10000","0.025","97.5","May-00","0.001","40.2","C10H17N3O6S",0.87,308.091634,"[M+H]",1,"CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:16856","Glutathione; 5-L-Glutamyl-L-cysteinylglycine; N-(N-gamma-L-Glutamyl-L-cysteinyl)glycine; gamma-L-Glutamyl-L-cysteinyl-glycine; GSH; Reduced glutathione","Glutathione; 5-L-Glutamyl-L-cysteinylglycine; N-(N-gamma-L-Glutamyl-L-cysteinyl)glycine; gamma-L-Glutamyl-L-cysteinyl-glycine; GSH; Reduced glutathione"
