"","Compound_Name","KEGG_Names","ChEBI_Code","IUPAC_Code","InChI_Key_Code","Canon_SMILES_Code","Classyfire","Compound_Name_SQL"
"14","2,4-Octadienal",NA,"CHEBI:165523","(2E,4E)-octa-2,4-dienal","DVVATNQISMINCX-YTXTXJHMSA-N","CCCC=CC=CC=O","kingdom: Organic compounds; superclass: Organic oxygen compounds; class: Organooxygen compounds; subclass: Carbonyl compounds; level 5: Aldehydes; level 6: Medium-chain aldehydes","Octadienal"
"15","2,5-Dihydroxybenzoic acid","2,5-Dihydroxybenzoate; 2,5-Dihydroxybenzoic acid; Gentisic acid; Hydroquinonecarboxylic acid; Gentisate","ChEBI:17189","2,5-dihydroxybenzoic acid","WXTMDXOMEHJXQO-UHFFFAOYSA-N","C1=CC(=C(C=C1O)C(=O)O)O","kingdom: Organic compounds; superclass: Benzenoids; class: Benzene and substituted derivatives; subclass: Benzoic acids and derivatives; level 5: Hydroxybenzoic acid derivatives","Resorcylic acid"
"16","2-Heptyl-3-hydroxy-quinolone","2-Heptyl-3-hydroxy-quinolone; 2-Heptyl-3-hydroxy-4(1H)-quinolone; 2-Heptyl-3-hydroxy-4-quinolone","ChEBI:29472","2-heptyl-3-hydroxy-1H-quinolin-4-one","CEIUIHOQDSVZJQ-UHFFFAOYSA-N","CCCCCCCC1=C(C(=O)C2=CC=CC=C2N1)O","kingdom: Organic compounds; superclass: Organoheterocyclic compounds; class: Quinolines and derivatives; subclass: Quinolones and derivatives; level 5: Hydroxyquinolones","PQS"
"17","2-Heptyl-4(1H)-quinolone","2-Heptyl-4(1H)-quinolone; 2-Heptyl-4-quinolone; 2-Heptyl-4-hydroxyquinoline","CHEBI:62219","2-heptyl-1H-quinolin-4-one","UYRHHBXYXSYGHA-UHFFFAOYSA-N","CCCCCCCC1=CC(=O)C2=CC=CC=C2N1","kingdom: Organic compounds; superclass: Organoheterocyclic compounds; class: Quinolines and derivatives; subclass: Quinolones and derivatives; level 5: Hydroquinolones","HHQ"
"18","2-Hydroxy-4-(methylthio)butyric acid",NA,NA,"2-hydroxy-4-methylsulfanylbutanoic acid","ONFOSYPQQXJWGS-UHFFFAOYSA-N","CSCCC(C(=O)O)O","kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Fatty Acyls; subclass: Fatty acids and conjugates; level 5: Thia fatty acids","Hydroxy 4 methylthio butyric acid"
"19","2-keto-4-methylthiobutyric acid","4-Methylthio-2-oxobutanoic acid; 4-Methylthio-2-oxobutanoate; 4-(Methylsulfanyl)-2-oxobutanoate; 2-Keto-4-methylthiobutyric acid; 2-Oxo-4-methylthiobutanoate; 2-Oxo-4-methylthiobutanoic acid","ChEBI:16723","4-methylsulfanyl-2-oxobutanoic acid","SXFSQZDSUWACKX-UHFFFAOYSA-N","CSCCC(=O)C(=O)O","kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Fatty Acyls; subclass: Fatty acids and conjugates; level 5: Thia fatty acids","Keto methylthiobutyric acid"
"20","2-Ketoglutaric acid","2-Oxoglutarate; Oxoglutaric acid; 2-Ketoglutaric acid; alpha-Ketoglutaric acid","ChEBI:16810","2-oxopentanedioic acid","KPGXRSRHYNQIFN-UHFFFAOYSA-N","C(CC(=O)O)C(=O)C(=O)O","kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Keto acids and derivatives; subclass: Gamma-keto acids and derivatives","Ketoglutaric acid"
"21","2-O-alpha-D-Glucosylglycerol","2-O-(alpha-D-Glucopyranosyl)glycerol; 2-O-alpha-D-Glucosylglycerol","ChEBI:82766","(2S,3R,4S,5S,6R)-2-(1,3-dihydroxypropan-2-yloxy)-6-(hydroxymethyl)oxane-3,4,5-triol","AQTKXCPRNZDOJU-ZEBDFXRSSA-N","C(C1C(C(C(C(O1)OC(CO)CO)O)O)O)O","kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Glycerolipids; subclass: Glycosylglycerols","Glucosylglycerol"
"22","3,4-Dihydroxybenzoic acid","3,4-Dihydroxybenzoate; 3,4-Dihydroxybenzoic acid; Protocatechuate; Protocatechuic acid","ChEBI:36062","3,4-dihydroxybenzoic acid","YQUVCSBJEUQKSH-UHFFFAOYSA-N","C1=CC(=C(C=C1C(=O)O)O)O","kingdom: Organic compounds; superclass: Benzenoids; class: Benzene and substituted derivatives; subclass: Benzoic acids and derivatives; level 5: Hydroxybenzoic acid derivatives","Dihydroxybenzoic acid"
"23","3',5'-Cyclic AMP","3',5'-Cyclic AMP; Cyclic adenylic acid; Cyclic AMP; Adenosine 3',5'-phosphate; Adenosine 3',5'-cyclic phosphate; cAMP","ChEBI:17489","(4aR,6R,7R,7aS)-6-(6-aminopurin-9-yl)-2-hydroxy-2-oxo-4a,6,7,7a-tetrahydro-4H-furo[3,2-d][1,3,2]dioxaphosphinin-7-ol","IVOMOUWHDPKRLL-KQYNXXCUSA-N","C1C2C(C(C(O2)N3C=NC4=C(N=CN=C43)N)O)OP(=O)(O1)O","kingdom: Organic compounds; superclass: Nucleosides, nucleotides, and analogues; class: Purine nucleotides; subclass: Cyclic purine nucleotides; level 5: 3',5'-cyclic purine nucleotides","cAMP"
"24","3',5'-Cyclic diGMP","3',5'-Cyclic diGMP; cdiGMP; 3',5'-Cyclic diguanylic acid; Bis-(3',5')-cyclic diGMP; Cyclic di-3',5'-guanylate","ChEBI:49537","2-amino-9-[(1S,6R,8R,9R,10S,15R,17R,18R)-17-(2-amino-6-oxo-1H-purin-9-yl)-3,9,12,18-tetrahydroxy-3,12-dioxo-2,4,7,11,13,16-hexaoxa-3ÃƒÆ’Ã…Â½Ãƒâ€šÃ‚Â»5,12ÃƒÆ’Ã…Â½Ãƒâ€šÃ‚Â»5-diphosphatricyclo[13.3.0.06,10]octadecan-8-yl]-1H-purin-6-one","PKFDLKSEZWEFGL-MHARETSRSA-N","C1C2C(C(C(O2)N3C=NC4=C3N=C(NC4=O)N)O)OP(=O)(OCC5C(C(C(O5)N6C=NC7=C6N=C(NC7=O)N)O)OP(=O)(O1)O)O","kingdom: Organic compounds; superclass: Nucleosides, nucleotides, and analogues; class: (3'->5')-dinucleotides and analogues; subclass: (3'->5')-cyclic dinucleotides and analogues; kingdom: Organic compounds; superclass: Nucleosides, nucleotides, and analogues; class: (3'->5')-dinucleotides and analogues; subclass: (3'->5')-cyclic dinucleotides and analogues","Cyclic diGMP"
"25","3',5'-Cyclic GMP","3',5'-Cyclic GMP; Guanosine 3',5'-cyclic monophosphate; Guanosine 3',5'-cyclic phosphate; Cyclic GMP; cGMP","ChEBI:16356","9-[(4aR,6R,7R,7aS)-7-hydroxy-2-oxido-2-oxo-4a,6,7,7a-tetrahydro-4H-furo[3,2-d][1,3,2]dioxaphosphinin-6-yl]-2-amino-1H-purin-6-one","ZOOGRGPOEVQQDX-UUOKFMHZSA-M","C1C2C(C(C(O2)N3C=NC4=C3N=C(NC4=O)N)O)OP(=O)(O1)[O-]","kingdom: Organic compounds; superclass: Nucleosides, nucleotides, and analogues; class: Purine nucleotides; subclass: Cyclic purine nucleotides; level 5: 3',5'-cyclic purine nucleotides","cGMP"
"26","3-Aminopropanesulfonate","3-Aminopropanesulfonate; 3-Amino-1-propanesulfonic acid","ChEBI:1457","3-aminopropane-1-sulfonate","SNKZJIOFVMKAOJ-UHFFFAOYSA-M","C(CN)CS(=O)(=O)[O-]","kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Organic sulfonic acids and derivatives; subclass: Organosulfonic acids and derivatives; level 5: Organosulfonic acids; kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Organic sulfonic acids and derivatives; subclass: Organosulfonic acids and derivatives; level 5: Organosulfonic acids","Aminopropanesulfonate"
"27","3-Indoleacetonitrile","3-Indoleacetonitrile; Indol-3-ylacetonitrile; Indole-3-acetonitrile; (Indol-3-yl)acetonitrile","ChEBI:17566","2-(1H-indol-3-yl)acetonitrile","DMCPFOBLJMLSNX-UHFFFAOYSA-N","C1=CC=C2C(=C1)C(=CN2)CC#N","kingdom: Organic compounds; superclass: Organoheterocyclic compounds; class: Indoles and derivatives; subclass: Indoles; level 5: 3-alkylindoles","Indoleacetonitrile"
"28","3-Indolepropionic acid",NA,NA,"3-(1H-indol-3-yl)propanoic acid","GOLXRNDWAUTYKT-UHFFFAOYSA-N","C1=CC=C2C(=C1)C(=CN2)CCC(=O)O","kingdom: Organic compounds; superclass: Organoheterocyclic compounds; class: Indoles and derivatives; subclass: Indolyl carboxylic acids and derivatives","Indolepropionic acid"
"29","N-(3-Hydroxydodecanoyl)homoserine lactone",NA,NA,NA,NA,NA,NA,"Hydroxydodecanoyl homoserine lactone"
"30","3-Phosphoglycerate","Glycerate 3-phosphate; 3-Phosphoglycerate","ChEBI:17050","2-hydroxy-3-phosphonooxypropanoic acid","OSJPPGNTCRNQQC-UHFFFAOYSA-N","C(C(C(=O)O)O)OP(=O)(O)O","kingdom: Organic compounds; superclass: Organic oxygen compounds; class: Organooxygen compounds; subclass: Carbohydrates and carbohydrate conjugates; level 5: Sugar acids and derivatives","Phosphoglycerate"
"31","3-Sulfolactate, 13C3",NA,NA,NA,NA,NA,NA,"Sulfolactate 13C3"
"32","3-Sulfopyruvic acid","3-Sulfopyruvate; 3-Sulfopyruvic acid","ChEBI:16894","2-oxo-3-sulfopropanoic acid","BUTHMSUEBYPMKJ-UHFFFAOYSA-N","C(C(=O)C(=O)O)S(=O)(=O)O","kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Keto acids and derivatives; subclass: Alpha-keto acids and derivatives","Sulfopyruvic acid"
"33","4-Aminobenzoic acid","4-Aminobenzoate; ABEE; 4-Aminobenzoic acid; p-Aminobenzoate","ChEBI:17836","4-aminobenzoic acid","ALYNCZNDIQEVRV-UHFFFAOYSA-N","C1=CC(=CC=C1C(=O)O)N","kingdom: Organic compounds; superclass: Benzenoids; class: Benzene and substituted derivatives; subclass: Benzoic acids and derivatives; level 5: Aminobenzoic acids and derivatives; level 6: Aminobenzoic acids","PABA"
"34","4-Aminobutyric acid","4-Aminobutanoate; 4-Aminobutanoic acid; 4-Aminobutyrate; 4-Aminobutyric acid; gamma-Aminobutyric acid; GABA","ChEBI:16865","4-aminobutanoic acid","BTCSSZJGUNDROE-UHFFFAOYSA-N","C(CC(=O)O)CN","kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Gamma amino acids and derivatives","GABA"
"35","4-hydroxybenzaldehyde","4-Hydroxybenzaldehyde; p-Hydroxybenzaldehyde","ChEBI:17597","4-hydroxybenzaldehyde","RGHHSNMVTDWUBI-UHFFFAOYSA-N","C1=CC(=CC=C1C=O)O","kingdom: Organic compounds; superclass: Organic oxygen compounds; class: Organooxygen compounds; subclass: Carbonyl compounds; level 5: Aldehydes; level 6: Aryl-aldehydes; level 7: Benzaldehydes; level 8: Hydroxybenzaldehydes","Hydroxybenzaldehyde"
"36","5-(2-Hydroxyethyl)-4-methylthiazole","5-(2-Hydroxyethyl)-4-methylthiazole; 4-Methyl-5-(2'-hydroxyethyl)-thiazole; 4-Methyl-5-(2-hydroxyethyl)thiazole; HET","ChEBI:17957","2-(4-methyl-1,3-thiazol-5-yl)ethanol","BKAWJIRCKVUVED-UHFFFAOYSA-N","CC1=C(SC=N1)CCO","kingdom: Organic compounds; superclass: Organoheterocyclic compounds; class: Azoles; subclass: Thiazoles; level 5: 4,5-disubstituted thiazoles","Sulfurol"
"37","5-Hydroxyectoine","5-Hydroxyectoine","ChEBI:49432","(5S,6S)-5-hydroxy-2-methyl-1,4,5,6-tetrahydropyrimidine-6-carboxylic acid","KIIBBJKLKFTNQO-WHFBIAKZSA-N","CC1=NCC(C(N1)C(=O)O)O","kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives; level 7: Alpha amino acids; level 8: L-alpha-amino acids","Hydroxyectoine"
"38","5-Methylcytosine","5-Methylcytosine","ChEBI:27551","6-amino-5-methyl-1H-pyrimidin-2-one","LRSASMSXMSNRBT-UHFFFAOYSA-N","CC1=C(NC(=O)N=C1)N","kingdom: Organic compounds; superclass: Organoheterocyclic compounds; class: Diazines; subclass: Pyrimidines and pyrimidine derivatives; level 5: Hydroxypyrimidines","Methylcytosine"
"39","5-Oxoproline","5-Oxoproline; Pidolic acid; Pyroglutamic acid; 5-Pyrrolidone-2-carboxylic acid; Pyroglutamate; 5-Oxo-L-proline; L-Pyroglutamic acid; L-5-Pyrrolidone-2-carboxylic acid","ChEBI:18183","(2S)-5-oxopyrrolidine-2-carboxylic acid","ODHCTXKNWHHXJC-VKHMYHEASA-N","C1CC(=O)NC1C(=O)O","kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives; kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives","Pidolic acid"
"41","7-Dehydrocholesterol","7-Dehydrocholesterol; Provitamin D3; Cholesta-5,7-dien-3beta-ol","ChEBI:17759","(3S,9S,10R,13R,14R,17R)-10,13-dimethyl-17-[(2R)-6-methylheptan-2-yl]-2,3,4,9,11,12,14,15,16,17-decahydro-1H-cyclopenta[a]phenanthren-3-ol","UCTLRSWJYQTBFZ-DDPQNLDTSA-N","CC(C)CCCC(C)C1CCC2C1(CCC3C2=CC=C4C3(CCC(C4)O)C)C","kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Steroids and steroid derivatives; subclass: Cholestane steroids; level 5: Cholesterols and derivatives; kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Steroids and steroid derivatives; subclass: Cholestane steroids; level 5: Cholesterols and derivatives","Dehydrocholesterol"
"43","Abscisic acid","Abscisate; Abscisic acid; (+)-Abscisic acid; ABA","ChEBI:2365","(2Z,4E)-5-[(1S)-1-hydroxy-2,6,6-trimethyl-4-oxocyclohex-2-en-1-yl]-3-methylpenta-2,4-dienoic acid","JLIDBLDQVAYHNE-YKALOCIXSA-N","CC1=CC(=O)CC(C1(C=CC(=CC(=O)O)C)O)(C)C","kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Prenol lipids; subclass: Sesquiterpenoids; level 5: Abscisic acids and derivatives","Abscisic acid"
"44","Acetoacetyl-CoA","Acetoacetyl-CoA; Acetoacetyl coenzyme A; 3-Acetoacetyl-CoA","ChEBI:15345","S-[2-[3-[[(2R)-4-[[[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] 3-oxobutanethioate","OJFDKHTZOUZBOS-CITAKDKDSA-N","CC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O","kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Fatty Acyls; subclass: Fatty acyl thioesters; level 5: Acyl CoAs; level 6: 3-oxo-acyl CoAs","Acetoacetyl CoA"
"45","Acetosyringone","Acetosyringone","ChEBI:2404","1-(4-hydroxy-3,5-dimethoxyphenyl)ethanone","OJOBTAOGJIWAGB-UHFFFAOYSA-N","CC(=O)C1=CC(=C(C(=C1)OC)O)OC","kingdom: Organic compounds; superclass: Organic oxygen compounds; class: Organooxygen compounds; subclass: Carbonyl compounds; level 5: Ketones; level 6: Aryl ketones; level 7: Phenylketones; level 8: Alkyl-phenylketones","Acetosyringone"
"46","Acetovanillone","Apocynin; Acetovanillone","ChEBI:2781","1-(4-hydroxy-3-methoxyphenyl)ethanone","DFYRUELUNQRZTB-UHFFFAOYSA-N","CC(=O)C1=CC(=C(C=C1)O)OC","kingdom: Organic compounds; superclass: Organic oxygen compounds; class: Organooxygen compounds; subclass: Carbonyl compounds; level 5: Ketones; level 6: Aryl ketones; level 7: Phenylketones; level 8: Alkyl-phenylketones","Acetovanillone"
"47","Acetylcholine","Acetylcholine; O-Acetylcholine","ChEBI:15355","2-acetyloxyethyl(trimethyl)azanium","OIPILFWXSMYKGL-UHFFFAOYSA-N","CC(=O)OCC[N+](C)(C)C","kingdom: Organic compounds; superclass: Organic nitrogen compounds; class: Organonitrogen compounds; subclass: Quaternary ammonium salts; level 5: Cholines; level 6: Acyl cholines","Acetylcholine"
"48","Acetyl-CoA","Acetyl-CoA; Acetyl coenzyme A","ChEBI:15351","S-[2-[3-[[(2R)-4-[[[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] ethanethioate","ZSLZBFCDCINBPY-ZSJPKINUSA-N","CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O","kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Fatty Acyls; subclass: Fatty acyl thioesters; level 5: Acyl CoAs","Acetyl CoA"
"49","Acetyl-CoA, 13C2",NA,NA,NA,NA,NA,NA,"Acetyl CoA 13C2"
"50","Acetylglycine",NA,"CHEBI:40410","2-acetamidoacetic acid","OKJIRPAQVSHGFK-UHFFFAOYSA-N","CC(=O)NCC(=O)O","kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives; level 7: N-acyl-alpha amino acids and derivatives; level 8: N-acyl-alpha amino acids","Acetylglycine"
"51","Adenine","Adenine; 6-Aminopurine","ChEBI:16708","7H-purin-6-amine","GFFGJBXGBJISGV-UHFFFAOYSA-N","C1=NC2=NC=NC(=C2N1)N","kingdom: Organic compounds; superclass: Organoheterocyclic compounds; class: Imidazopyrimidines; subclass: Purines and purine derivatives; level 5: 6-aminopurines; kingdom: Organic compounds; superclass: Organoheterocyclic compounds; class: Imidazopyrimidines; subclass: Purines and purine derivatives; level 5: 6-aminopurines","Adenine"
"53","Adenine, 15N2",NA,NA,NA,NA,NA,NA,"Adenine 15N2"
"54","Adenosine","Adenosine","ChEBI:16335","(2R,3R,4S,5R)-2-(6-aminopurin-9-yl)-5-(hydroxymethyl)oxolane-3,4-diol","OIRDTQYFTABQOQ-KQYNXXCUSA-N","C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N","kingdom: Organic compounds; superclass: Nucleosides, nucleotides, and analogues; class: Purine nucleosides; kingdom: Organic compounds; superclass: Nucleosides, nucleotides, and analogues; class: Purine nucleosides","Adenosine"
"56","Adenosine diphosphate","ADP; Adenosine 5'-diphosphate","ChEBI:16761","[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl phosphono hydrogen phosphate","XTWYTFMLZFPYCI-KQYNXXCUSA-N","C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)O)O)O)N","kingdom: Organic compounds; superclass: Nucleosides, nucleotides, and analogues; class: Purine nucleotides; subclass: Purine ribonucleotides; level 5: Purine ribonucleoside diphosphates","Adenosine diphosphate"
"57","Adenosine monophosphate","AMP; Adenosine 5'-monophosphate; Adenylic acid; Adenylate; 5'-AMP; 5'-Adenylic acid; 5'-Adenosine monophosphate; Adenosine 5'-phosphate","ChEBI:16027","[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl dihydrogen phosphate","UDMBCSSLTHHNCD-KQYNXXCUSA-N","C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)O)O)N","kingdom: Organic compounds; superclass: Nucleosides, nucleotides, and analogues; class: Purine nucleotides; subclass: Purine ribonucleotides; level 5: Purine ribonucleoside monophosphates","Adenosine monophosphate"
"58","Adenosine monophosphate, 15N5",NA,NA,NA,NA,NA,NA,"AMP 15N5"
"59","Adenosine triphosphate","ATP; Adenosine 5'-triphosphate","ChEBI:15422","[[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] phosphono hydrogen phosphate","ZKHQWZAMYRWXGA-KQYNXXCUSA-N","C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N","kingdom: Organic compounds; superclass: Nucleosides, nucleotides, and analogues; class: Purine nucleotides; subclass: Purine ribonucleotides; level 5: Purine ribonucleoside triphosphates","Adenosine triphosphate"
